0,1,2,3,4,5,6,7
0.5446362365240538,-0.3401833543426729,0.6507190196177178,0,1.0,-1.0,1.0,-1.0
0.7998074406778702,-0.10261501794200244,0.8000116347985361,0,1.0,-1.0,1.0,-1.0
0.9197448156959872,0.02501392563740171,0.8999301889719338,0,1.0,1.0,1.0,-1.0
1.0,0.11241200683555057,1.0,0,1.0,1.0,1.0,-1.0
0.9463082273105373,0.13366796333714973,0.9586701806578375,0,1.0,1.0,1.0,-1.0
0.6223437038354369,0.09981727414469835,0.7389590384638416,0,1.0,1.0,1.0,-1.0
-0.2133147869657302,-0.050745389586336564,0.22708747913688654,0,-1.0,-1.0,1.0,-1.0
-0.6994891712620244,-0.20140142733024102,-0.40664606348439786,0,-1.0,-1.0,-1.0,1.0
-0.7468645297574948,-0.20394870526334333,-0.7339927221312612,0,-1.0,-1.0,-1.0,1.0
-0.38608587299457425,-0.0038116733287856964,-0.6652940505930902,0,-1.0,-1.0,-1.0,1.0
-0.05845499968034454,0.2522331364387157,-0.4938779368410128,0,-1.0,1.0,-1.0,1.0
0.20720458852981144,0.3965816387504627,-0.41313094206404255,0,1.0,1.0,-1.0,1.0
0.4979101308888281,0.5959819630594061,-0.25401296905379955,0,1.0,1.0,-1.0,1.0
0.7352337414568858,0.8717108934673912,-0.13264401618563187,0,1.0,1.0,-1.0,1.0
0.8175619072687723,1.0,-0.15587247122449097,0,1.0,1.0,-1.0,1.0
0.6850791523479643,0.8563603962919518,-0.2974894280836495,0,1.0,1.0,-1.0,1.0
0.413697624309975,0.5437545859060768,-0.5017248720937079,0,1.0,1.0,-1.0,1.0
-0.17802088785383394,0.022476550475532674,-0.9517544341305654,0,-1.0,1.0,-1.0,1.0
-0.6287082568001492,-0.5463498596417836,-1.0,0,-1.0,-1.0,-1.0,1.0
-1.0,-0.934994693552667,-0.7424649985518565,0,-1.0,-1.0,-1.0,1.0
-0.8353460038795317,-1.0,-0.24760090052133965,0,-1.0,-1.0,-1.0,1.0
-0.45576075367902547,-0.8339307967471623,0.15310970960903514,0,-1.0,-1.0,1.0,-1.0
-0.21615790140861685,-0.7265724797358412,0.28751605764790644,0,-1.0,-1.0,1.0,-1.0
0.24969444829932594,-0.38806430048911195,0.6952910381380475,0,1.0,-1.0,1.0,-1.0
