,1
0,5.0
1,0.0
2,5.0
3,10.0
4,15.0
5,20.0
6,15.0
7,10.0
8,5.0
9,0.0
10,5.0
11,10.0
12,15.0
13,20.0
14,25.0
15,30.0
16,35.0
17,40.0
18,35.0
19,30.0
20,25.0
21,20.0
22,15.0
23,10.0
24,5.0
25,0.0
26,5.0
27,10.0
28,15.0
29,20.0
30,15.0
31,10.0
32,5.0
33,0.0
34,5.0
35,10.0
36,15.0
37,20.0
38,25.0
39,30.0
40,35.0
41,40.0
42,35.0
43,30.0
44,25.0
45,20.0
46,15.0
47,10.0
48,5.0
49,0.0
50,5.0
51,10.0
52,15.0
53,20.0
54,15.0
55,10.0
56,5.0
57,0.0
58,5.0
59,10.0
60,15.0
61,20.0
62,25.0
63,30.0
64,35.0
65,40.0
66,35.0
67,30.0
68,25.0
69,20.0
70,15.0
71,10.0
72,5.0
73,0.0
74,5.0
75,10.0
76,15.0
77,20.0
78,15.0
79,10.0
80,5.0
81,0.0
82,5.0
83,10.0
84,15.0
85,20.0
86,25.0
87,30.0
88,35.0
89,40.0
90,35.0
91,30.0
92,25.0
93,20.0
94,15.0
95,10.0
96,5.0
97,0.0
98,5.0
99,10.0
100,15.0
101,20.0
102,15.0
103,10.0
104,5.0
105,0.0
106,5.0
107,10.0
108,15.0
109,20.0
110,25.0
111,30.0
112,35.0
113,40.0
114,35.0
115,30.0
116,25.0
117,20.0
118,15.0
119,10.0
120,5.0
121,0.0
122,5.0
123,10.0
124,15.0
125,20.0
126,15.0
127,10.0
128,5.0
129,0.0
130,5.0
131,10.0
132,15.0
133,20.0
134,25.0
135,30.0
136,35.0
137,40.0
138,35.0
139,30.0
140,25.0
141,20.0
142,15.0
143,10.0
144,5.0
145,0.0
146,5.0
147,10.0
148,15.0
149,20.0
150,15.0
151,10.0
152,5.0
153,0.0
154,5.0
155,10.0
156,15.0
157,20.0
158,25.0
159,30.0
160,35.0
161,40.0
162,35.0
163,30.0
164,25.0
165,20.0
166,15.0
167,10.0
168,5.0
169,0.0
170,5.0
171,10.0
172,15.0
173,20.0
174,15.0
175,10.0
176,5.0
177,0.0
178,5.0
179,10.0
180,15.0
181,20.0
182,25.0
183,30.0
184,35.0
185,40.0
186,35.0
187,30.0
188,25.0
